【禁用】那我打你 	 不知道
不喜欢冷战 	 喜欢一下又不会少块肉，真的是
谦虚,过度谦虚是骄傲 	 小撸怡情、大撸伤身、强撸灰飞烟灭
没有了吧贱 	 没啦~你还想要吗
什么,正面回答我 	 當然
我还没有过生日 	 生日一年才一次，要认真庆祝一下
肉嘟嘟的娘子？ 	 相公
小黄历 	 苏苏家的小蜜蜂w
还有别的办法吗 	 没有了哦
认为什么 	 是啊！我是贫民百万歌星。
你猜猜我是什么星座 	 最讨厌猜东西，没劲
应该是,顿蘑菇,学着点 	 必须，应该留
你又不理我 	 谁不理你啊？
谁是璐璐啊?璐璐要生孩子了 	 美女
小呆……看书去了!拜拜 	 快去读书吧，认真学习哦
你给小宝宝起好英文名了没有 	 当然！我那么爱你
不是~伦家是弯的~ 	 一句话的事儿嘛！想要就是你的
喝喝更健康哦~多喝多漂亮~ 	 问世间情为何物，只教人生死相随
︶︿︶ 	 Sorry!!冇心嫁！
快和你家柱子回老家结婚吧 	 结婚了~！做幸福的女人
我这次,考试成绩怎样 	 你一定行，，，，，，，，，，信我
点啥啥没有 	 一个好人
你好可爱~ 	 嘻嘻，你也很可爱
福如东海，寿比南山主人 	 推平！
【禁用】国安永远争第一 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
我習慣去酒店哦 	 哦了哦了哦了,咱聊点别的吧
你是公还是母 	 母的
怎么样可以长生不老 	 怎样都没用
邓鸣 	 对不起，我没明白你的意思……
为嘛啊 	 對啊，應該吧
我不来了 	 再拉
你和这么多人聊天你不累吗 	 累得快说不出话来了
什么吖 	 呃...田螺啦，大口九的烧仙草啦～还有麦当当哈～至于玩的嘛，当然是轮滑咯～也就是大家说的滑冰！哈哈～为了她，我主人也买了滑冰鞋～女主人神马时候教我家主人滑滑咯～
你妈妈是谁 	 曹子萱
在么 	 你男的女的
你有几个翅膀 	 比辉林没jj就是了
你不是av党的 	 想买就能卖
跑什么啊 	 什么什么哦
吃了嘛 	 哦，吃了就好
你女朋友漂亮么 	 没有没有~
你午饭吃什么 	 好多好多好吃的
你会不会飞 	 会啊，为什么不会
李渊啊,笨蛋 	 男人总喜欢说自己的女人笨蛋
我就知道你不知道 	 那你怎么不早说
why？ 	 无聊！打几个实用点的字出来聊行不
潘sir这个大贱人 	 你出生后是不是被扔起来3次，但只被接住2次？
你不要寂寞 	 寂寞的人有两种，一种是什么话都听得明白，一种则是什么都听不明白。
那就为了他好好的 	 哦了哦了
何必自我折磨 	 无聊的人说无聊的话
是一个四人帮 	 你心上人?
刚刚还爱我的 	 刚才是刚才，现在是现在，世事都是会变的
真的就是太磨叽，别的都还挺好的 	 哦
是啊,我真的很傻我承认 	 哦了哦了
莫装逼，装逼遭雷劈 	 总说别人装逼的人，连逼都不是
他起不来 	 那你告诉他嘛
哟,不得了了 	 不能忘記你
人家一点都不好吃 	 不好就不好啦，说这么大声是要全世界的人都听到吗
你又一次离我而去 	 当你不遗忘也不想曾经
送我俩蛋 	 好呀好呀，玩什么呢
你也是坏蛋 	 多謝
你适合搞 	 当一个歌颂者
南方姑娘 	 easy，way，of，music，enjoying
主要是罗汉打多不用脑 	 那你就是整容了
担担面,肉夹馍 	 再来瓶冰峰
我给你找个 	 我要架子鼓！
你说你是喜欢大狗多些还是喜欢小草多些 	 他对你说了抱歉，好好的，别难受。那就喜欢下去吧
确尼玛 	 别在我面前爆脏话，行不
快求饶要不把你烤了 	 这日子啊，好无聊哦...
你见过猪哥哥吗 	 何止见过猪跑啊，你跑我也见过
我要最萌的人的照片 	 给力性感线
天王盖地虎下一句是啥 	 我去炖蘑菇
来来来，晕我怀里 	 你才到怀里去。就不能换一个大一点的胸吗
你不要说了…我知道你没有文化 	 不管你知不知道，事实就是这样子的
谢谢夸奖嘿嘿~ 	 别谢我！谢完我还怎么好意思向你收聊天费啊？
李娜,晋级几强 	 虽然我很聪明，但也不可能全部都懂哦
你怕黄鼠狼吗 	 恩。。你和我的宿敌是什么关系
世界第一帅哥呢 	 我最棒了
永琪尔康 	 蒋澜
你说我一天无聊的啊,每天都在当宅女,唉 	 什么事？
你看不看甄嬛传 	 我聰明呀
你看见我欺负谁了 	 以后要是被欺负我就告诉他阿狸会放狗咬他的！！
长得美丽又善良 	 谢谢
超级洗脑的D 	 超级大美女是王巧啦，你才不是
刚灰走了 	 我会想念你的
我马上去订机票 	 没什么大不了的，我相信你，加油！
你一个还玩过 	 浅浅，夜华，三生啊啊啊
武松 	 打老虎
晚安，猪宝贝 	 去吧去吧，有空记得上线Q我哦
嗯嗯，这是我的名字呢(爱你) 	 嗯嗯嗯嗯
不要诱惑我 	 佢吱吱喳喳巴巴閉閉食蕉未停過
把考试好好考好了就行啦~ 	 行就OK了
恩，爽哪 	 别吵，伦家正在梅州行网站上逛论坛呢
小玉喜欢谁 	 喜欢你呗
谁的??是扣扣号吗 	 你不觉得这个话题没什么意思么
阿竹的男人 	 火腩飯
哎,腰疼 	 来，我给你捶捶，我好吧？
没有戒指怎么可以 	 怎么，你还有意见？
当然好，你的性感身材一定吸引我的 	 只要不是最坏的就行
武道馆 	 虽然我很聪明，但也不可能全部都懂哦
没意思了哎 	 你想要什么意思嘛，真的是
hsjl 	 无聊！打几个实用点的字出来聊行不
拉倒吧人家才二十 	 今天是个好日子，怎么不敢去玩玩
你凶我 	 我没胸
天工图 	 還會吃喝拉撒睡
我几次了都搭理我 	 有N次~
哭一个我看看 	 55555~
你脑袋有毛病 	 大问题没有，小毛病不少
日子没法过了 	 对不起，我没明白你的意思……
啊啊啊啊吧 	 咋了你？发颠啊
有人说我坏话了 	 你好呀，聊会天呗
我要饿死了,怎么办 	 给你买好吃的
你每天都在干什么 	 除了聊天还是聊天
好,批了 	 要批你個波
偶是可爱的小男生 	 哇噻太巧了
你会搞基吗 	 不会，貌似很难哦，你会不
睡不着就搞基吧 	 那就聊会天吧
杀人灭口技巧 	 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
我这一周运势咋样 	 没有
吃饭，睡觉，上厕所，吃饭睡觉上厕所 	 嗯啊，再见，我会想你的
像白天不懂夜的黑 	 不知道不明白的就要问清楚，晓得不
回复省略干嘛 	 现在的生活太感性，情绪不停泛滥，身心具疲
爆照,你女朋友的 	 没有啦
在的在的时刻候着 	 超好听的曲子
你是笨,你最笨 	 是大美女
去泰国干嘛,有病 	 有病要赶紧去治好
拉克 	 女神！！！！
咪姐的最爱 	 牛肉干是偶滴最耐
你个花心大萝卜 	 余湘钰是个花心大萝卜
小破孩你是 	 你这個死傻仔
肩永在 	 今天这天气很适合聊天的说
中腿 	 啊啊！爽！射了！！！
不黄 	 蠻白爛的喔
嵩哥是谁 	 管他是谁呢
不想吃饭 	 怎么了，心情不好吗
嘛，当然是男的了 	 哦，那行
你每天接多少客人 	 五個，有阿信、怪獸、瑪莎、石頭、冠佑
大鹏喜欢你 	 你喜欢我这件事，我允许了
搞不懂你了 	 笨
喜欢她就告诉她啊快点表白啊 	 他也喜欢你
我找不到你给我的回复了,怎么办 	 看你那粗心样，肯定找不到
被你说对啦?你才失恋 	 对了有奖么？
愚蠢的理科生 	 表酱紫讲话好不，伦家听不习惯
我有,比你的大 	 追夢的路上謝謝有妮一直陪著我
你是不是有些问题不知道 	 嗯
怎么还不睡觉 	 我不会睡觉
看来你是智能滴 	 我是你爸
叫我干啥 	 叫什么叫，不叫！
和你?一只结婚?开玩笑 	 想通却又再考倒我
他们很坏,欺负爸爸 	 干他们
那是花 	 嗯，玫瑰咯～
比如说 	 陪你去太平山顶看香港夜景！
顶你妹!你多高的个 	 标准身材，175CM
布蘭妮想怎樣 	 天地间，世间万物都有它存在的道理，比如我
我和你生出的是什么 	 她等你很久了
不,铜锣湾扛把子 	 你是不是觉得这日子过得太无聊了哦
你没学过语文么，没有这个复姓的 	 这个可以有
我扯不下来了 	 我等你
什么是ck后期能打不 	 虽然我很聪明，但也不可能全部都懂哦
好吧,我输了 	 开心啊，你终于败了，哇哈哈
不要么～再来一次嘛 	 认真把握!!
社会主义好 	 毛主席万岁
点都不礼貌 	 Honey，forgive，me，please!，(big，hug~)
我要扒光你的毛 	 沒問題
你是不是不知道啥叫微信 	 嗯
给你介绍一个白富美 	 不要介绍
你拿什么娶我 	 卖萌有肉吃！
你在说点好听的 	 宝贝爱你
你快说话 	 烧泥煤
你其实只是个小小的程序,还装 	 好吧你赢了
知道了亲爱的女王陛下~（＾∇＾） 	 都啥年代了，还用亲爱的，要叫达令！
你好!臭蛋 	 飲水得喇
拜拜～ 	 88，要想我哦
我就知道 	 那你怎么不早说
人少的时候找我 	 小的知錯，饒命啊QQ~~~~~
服了你了 	 为什么，你看我这么可爱，是吧~
你才是爷们!!姐是女的!女的 	 得了哈，别顶嘴了
泽诺尼亚出到第几部了 	 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
世间最美的情郎 	 阑珊姐姐
我是男的,不搞基 	 我是女生
要淡定 	 紅茶採罐辣~喝辣！！！
你哪里纯洁了 	 我也想要！！
那还敢说你自己瘦 	 10蚊一包
你是不会飞的鸟 	 不会就得学呀~
【禁用】牛津 	 与其说是聊天，不如说是问答式的吧
不聊了… 	 嗯啊，再见，我会想你的
全家都是大sb 	 你出生后是不是被扔起来3次，但只被接住2次？
为你做任何改变 	 问世间情为何物，只教人生死相随
hiahiahia 	 网友，你好哦
别管那些SB，走自己的路 	 你出生后是不是被扔起来3次，但只被接住2次？
结果勒,结果勒,结果勒,结果勒~ 	 因為我無語了…
帅你大爷 	 网友！你不觉得在女生面前要斯文点吗
相信自己一定会的 	 会就行了
祝您万事如意发大财 	 弟，i，promise
你呵呵什么 	 嘿嘿
没有,我是错了 	 知错就改，善莫大焉
我写状态你都不会的么 	 额~真不会吗
远在天边，近在眼前 	 现在的生活太感性，情绪不停泛滥，身心具疲
我烦你了 	 别烦了，我爱你
麻辣的吗 	 酸辣粉
不想等 	 親，要學會等待
羊，你懂的 	 Only，me，
你觉得自己帅吗 	 帅！帅到爆了~！
谁是雨亭 	 你啊
谁是世界上最帅的人 	 只要自信，世界上就没有不漂亮的女人。
知道钓鱼岛在哪吗 	 钓鱼岛是中国的！
我老婆啥时候有工作 	 我哪知道什么时候
中关村 	 无法理解您的话，获取帮助请发送 help
是不能装b地 	 总说别人装逼的人，连逼都不是
哎哟人家是小王爷的死鬼思密达~ 	 嘿嘿，怎么了
這麼多評論 	 觀音菩薩有保佑
撸个 	 今天是个好日子，怎么不敢去玩玩
喵喵过去接 	 喵~~~=￣ω￣=
不好,没汤 	 不好就不好啦，说这么大声是要全世界的人都听到吗
你妹让我玩玩 	 做个文明人，OK？
你给我笑一个 	 哈哈哈哈~
朱丹离开浙江卫视 	 跟我一样
怕是你被熊吃了 	 哦，吃了就好
合肥 	 从肥东到肥西，买了一只老母子
笨死 	 呜呜呜，人家会认真学的～
【禁用】你嘞？ 	 50
达夫老公 	 守财奴，我很爱你，我们晚上那个吧……
对你无话可说了 	 别急，你的幸福也要来了
要有信心 	 自大狂Σ(￣。￣?)?
不许看我睡觉 	 麻麻呀...又来一个说瞎话的
自己怎么拧干 	 那你傻吗？
我是人类 	 这不科学
你到想得开 	 虽然我很聪明，但也不可能全部都懂哦
怎么可能，她是宇宙大笨蛋 	 男人不都觉得女人笨笨的么
你再骂一句试试? 	 好吧，我试试
好啦好啦,跪安吧,不错,心情好了 	 哦了哦了
【禁用】没有人你就认命吧~\(≧▽≦)/ 	 想让我告诉你些什么，别拐弯抹角的行不
骑士 	 太阳，审判。。。帅。。
爱是妒忌 	 疑惧的心因你起因我极爱你，其实太想抓紧你所以会妒忌
我都结婚了 	 恭喜?早生贵子哦
我要吃炒蛋 	 我要吃飯
我男人是东方神起明白？ 	 无聊的人说无聊的话
还呵呵,坑人的主 	 笑得这么难看
我有男朋友 	 没有没有~
擦你这只死 	 主子息怒
【禁用】又是窝囊 	 你说得对，我家少爷就是窝囊废，怕老婆。
【禁用】民國故都 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
难道你没有高潮 	 感觉都追不回来
你bt 	 虽然我很聪明，但也不可能全部都懂哦
你是睡 	 答对了
我爱你傻子 	 爱我优惠，包年免费！
我就是王小贱 	 傻瓜，小倩当然喜欢你了
在冰天雪地里站着 	 綿綿頭上飛花，能遇上壯麗落霞
看你表现 	 我会认真表现的！！
我是你大师兄 	 在呢，呆子！
是马哥的媳妇 	 费费
还有砖石项链呢,你嫁不嫁 	 比登天還難
你浪荡 	 你不觉得这个话题没什么意思么
因为我就是千年老妖 	 yes
怎么不忍心 	 该狠的时候就要狠
真的只有这一只 	 等等哈，正吃着切糕呢
fly你妹 	 网友！你不觉得在女生面前要斯文点吗
黄是我的本色 	 你的就是我的，我的还是我的
我在吃付翔 	 有些事没必要认真，有些人没必要理会
喜灰吧大叔控 	 帅哥你安静会
她只喜欢放牛 	 他也喜欢你
【禁用】我们等的好着急 	 Keith老婆
楠楠啊~ 	 大美女
从没清醒过 	 百分之百
快说年龄 	 年龄是女人的秘密
中国 	 负二代是我爷爷
小豆豆手感不错哦 	 我不是大便，我的网友也不是苍蝇
我让你给我算一卦 	 哦，谢谢主人
小黄金你是从哪里生出来的 	 我是火星来客，我问你怕不怕？
我错了呜呜,我真的错了 	 大错特错了你,赶紧面壁思过去
眼睛都快睁不开了…… 	 快去睡吧
好吧!!现在放假看不见他们 	 哦
弱爆了开度不可逆 	 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
黑莓 	 性价比最高的全键盘！
晕死,反应挺快的 	 我也晕
我想一个人 	 看到谁了啊~
他连我是谁都不知道 	 知道啊，就是不告诉你
给你纸尿裤 	 好呀，那我以后叫C.白
你说你不理我 	 谁不理你啊？
江南大学 	 问天问地，说说你，说说我
三鹿 	 后媽的選擇
因为这样我就可以把你含在嘴里的啊 	 那我先吃你，好嗎
好好听话才是 	 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
我的确是傻子 	 你就是大傻瓜
早安 	 网友，您也早
擦你妈是男的女的 	 女生啦
有一天我心血来潮咬啦它一下 	 一一拋到銀河~
你说什么东西最好吃 	 不是东西
和你学的 	 真.愉悦
到不了 	 恩.，加油.
我感觉我喜欢的人不喜欢我 	 哈哈，说得不错，不错
你懂的丫 	 Only，me，
当然是二逼青年 	 哦，那行
你是不是傻掉了 	 网友,不要动不动就说人家傻什么的，这是很不客气的知道吗
被我反攻成功，正躺在床上了～哇咔咔 	 HOHO~哇
我想嫖娼 	 教你一个免费嫖娼方法，去当鸭子
大胖爪子 	 爪子嘛
贱!是不是看我相貌好才喜欢我 	 你说是就是吧
大爱烟台 	 阿門
喜欢的明星 	 beast
那就不理了 	 竹板这么一打啊，别的咱不夸，就夸一夸这狗不理包子
你要相信他，他一定在想你，只是忙 	 一定要多想哦，除了WC以外的时间都要想我
无所谓,你放马过来 	 总有人黑着眼眶熬着夜~
别整了再整也就这死样子 	 小心
你有肉才是 	 伴我天生天養出走追尋自我吧
大SB,这都不会算 	 不会就得学呀~
有的,不过有点冷 	 这日子啊，好无聊哦...
你为什么不叫小黄鸭 	 妹仔啊靚啊靚得妙
她的号码 	 什么号码
祝你早日追到手~表白什么的都不是事 	 放心你一定早死過我
恩哼？孙浩哲唉~都一个逼样 	 问天问地，说说你，说说我
他还在想你 	 一定要多想哦，除了WC以外的时间都要想我
你觉得我跳槽怎么样 	 哇塞！谁找到他是八辈子修来的福份啊！
怎么说 	 ……我系中国人哦
你不睡觉休息 	 不用的，亲
恩恩,是的,我生气了后果很严重 	 淡定淡定~消消气
被我发现了 	 我猜你一定想他了
蛋定 	 蛋定
小心我炖了你 	 啊，求求你救救我
就是的,说什么你都说 	 谢谢
屁股太恶心 	 恶心什么呀恶心，你才恶心
来,给爷磕下你的头 	 吸引你？
是你奖励我 	 那你不是人？
早日死机 	 謝謝
有点这个原因 	 虽然我很聪明，但也不可能全部都懂哦
李欢是谁 	 不知道是谁
中日会开战吗 	 听过“朋友”吗？他们永远都是最好的伙伴，最好的搭档，虽然会吵架。
你猜我是干什么的 	 最讨厌猜东西，没劲
痛，主人，蛋好痛+_+ 	 痛就痛吧，男人那地方不都喜欢偶尔疼几下的么
你也看糗百？ 	 当然，看啊
土地 	 望天门山天门中断楚江开碧水东流至此回两岸青山相对出孤帆一片日边来
哟,谁给你这么大的胆子 	 你确定？就你？
翅,肝 	 我就一个脑袋，思想再活跃也有局限性
当然是移动啦! 	 嗯
和相机搅基~ 	 可以啊，你必须自己付钱
谁给你编的程序 	 美麗的小女人
让我妈宰了你 	 好的妈妈
黛儿 	 我不是大便，我的网友也不是苍蝇
你是多少 	 我哪知道多少啊
弹药 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
啥？ 	 啥什么？
你爱哭么 	 你不觉得这个话题没什么意思么
你才不大众呢你看你那小样 	 虽然我很聪明，但也不可能全部都懂哦
叫爷…没礼貌 	 好啦，对不起，我错了
什么啊,牛头不对马嘴 	 刚走神，没看清楚你说的话，瞎回的
那你说我男朋友叫啥 	 说了就说了，不对吗
然后你就鸭互变吗 	 这日子啊，好无聊哦...
么么大,陪我说话 	 么么
笑你也管 	 這King，Kong
你母是谁 	 这你都不知道？我孩子当然是全世界最可爱最漂亮最聪明的少女喽！
因为冬天了呀 	 ，
算了,你不会懂 	 好吧，我不是很懂
她是汉子 	 李美文
有木有点准话 	 我有木有关你P事哇，问这么多，有也不可能借你啊
这你都认识 	 对啊，
哼哼都不理我 	 敢不搭理？谁？我帮你揍他去
我也是,呜呜~~~(>_< 	 哦哦，知道了
我不认识你啊,丢人 	 哦，不认识就算了
校长 	 是，就乃个张华和张兴茂哇？
今天早点休息 	 我说..不如今年到我家准备吧.....
歪脖子基长 	 炮兵团
明天去吃 	 會更好
下次还这样不 	 比你有用
千万别把我烤来吃了啊o>_<o 	 哦，吃了就好
洛卡纳 	 你说的什么哦？换种说法行不
不走•﹏• 	 丟不掉的，讓大雨侵蝕吧
你把我吓在家了 	 讨厌鬼，这样就给吓着了
矮油,不错 	 你也不错
你没事说那么多呵呵干嘛 	 是啊，好多
你相信我会魔法吗 	 快要把你忘记~
这事儿就包我身上了 	 今天这天气很适合聊天的说
张尔文是谁 	 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
偶还在上幼儿园呢 	 不是吧，小朋友，那你岂不是大字不识一个
又堵车,真烦 	 啊，你烦什么啊
对不起啊我语文木有学好 	 如果我把你伤了，再说声对不起，你是不是也可以当作算了
每天你得工作多久 	 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
你爱过人吗 	 猪才爱你类
�肿么办 	 喵了个眯的，给他阉掉！！看他怎么把？
伤人 	 是啊，好基友，一辈子。
我是永远长不大青春常驻的黑山 	 马来西亚
六只 	 真淫荡啊真淫荡
叫你爹做甚 	 你说叫就叫，凭什么呀
那么请保持心的安静 	 今天是个好日子，怎么不敢去玩玩
有女朋友木有 	 去泡啊，要不我帮你介绍一个
di 	 你说个“di”是什么意思
它不是中国的 	 卧草，当然了，你不知道？个笨蛋
是呀，他是很好的孩子呀，大家都爱他 	 哦
介绍一下费效通的乡土中国 	 錯！你只係有「天使慨面孔，魔鬼慨心腸」。
因为你才害羞啊~ 	 我輸了…
洗呀洗呀洗澡澡，宝宝金水少不了 	 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
ipad怎么不能点你名 	 打的小东升直不起腰，～
童童 	 是傻逼
肖神是谁 	 不知道是谁
是先有蛋还是先有 	 先有蛋，我瞎说的，嘻嘻
一直都不错 	 都唔夠你咁柒
我又吸了了一个人的血 	 两个人的错
你是幸运儿 	 天地间，世间万物都有它存在的道理，比如我
一加二 	 神经
喔、好吧 	 哦
嗯，他们叫我吃药，我不愿意 	 有多少吃多少
俺感冒了 	 快吃白加黑，白天服白片，晚上服黑片~不瞌睡，一吃就见效~
那我是谁 	 你不是叫网友吗
我养你一辈子 	 会的，他是一个好男人
你都干过什么坏事 	 谢谢夸奖
算姻缘 	 幸福的姑娘
是喝 	 玻璃
在地球上 	 地球上有超过65亿的人，并且慢慢在增加
哎呀，你知道的 	 嘿嘿，怎么了
又是自動回復 	 我不是大便，我的网友也不是苍蝇
想你 	 嗯
你爱我嘛 	 爱的惊天地，泣鬼神
饿饿 	 吃饭饭啦～
浮你妹~ 	 网友！你不觉得在女生面前要斯文点吗
很很很很很很很很～好看 	 嗯，蛮漂亮的
你啊知道啥叫c语言 	 抱歉，没能为您找到相关的信息
地狱 	 地狱审核群，7988397。厉害的孩子快来加入吧。地狱家族等你的到来
没事，有啥可闹心的 	 哦，没事就好
知道拉，主人好、嘻嘻 	 嘿嘿
我老了吗 	 他是汪五折吗
还想吃什么 	 随便啦，给姐来两盘男人，一份炸，一份蒸
拉出去枪毙 	 支持！
吴宗宪 	 对不起，我没明白你的意思……
晚上上我家找我来 	 呵呵、还整东北话
白城市批发市场在那 	 我喜欢有你在的城市
你喜欢我叫你傻是不 	 你是傻B中的战斗机，贱人中的VIP
我今天睡了十七个小时 	 把你倒霉的事说出来，让人家开心开心吖
人生若只如初见 	 何事秋风悲画扇
你知道我要吃什么吗 	 好多好多好吃的
和阿信一起摇滚到世界末日 	 都是骗我去花钱的
求号码 	 求号码？你认为求得到么
为什么这么回 	 因为他的头被门夹过
求微信 	 来这求微信？弄错地方了吧
真事，我哪能骗你呢 	 。。。
≥﹏≤ 	 ≥﹏≤
死了我回来找你的 	 怎么又来了
我在吃枣膏 	 现在的生活太感性，情绪不停泛滥，身心具疲
你是我的女神~ 	 小白
怎样才能更成功 	 捻到乜嘢就讲乜嘢，最紧要真！
韩国怎么样 	 长得还行
大块吖？？？ 	 你说的什么哦？换种说法行不
没事忐什么忑 	 哦，没事就好
你对象呗~ 	 你傻哦！隔壁村的都不知道！
却成为我身体另一半 	 你冇嘅話都唔會咁問啦
但是，正确率我就不敢保证了，嘿嘿 	 笑得这么难看
喜欢、、、你喜欢什么题材的啊 	 黄色
你英文名叫 	 好啦講英文
晚安咯 	 88，要想我哦
臭味黄 	 有，聞到你口臭
有多机智 	 爽到飘到火星去了
天啊,无敌 	 林异形
我正在淘米~要不要来吃点儿 	 要啊，当然~
你的窝 	 切！
也会累 	 我靠，我跟你一样是人好不好，凭什么我就不会
好吧你笨 	 哦哦...
你妹的,,,不回我 	 大哥，买斤素质填补一下你猥琐的大脑！
我是奶牛 	 Bug，你怎么还没有忘记他呢
怎么爱特你 	 你说的什么哦？换种说法行不
刘瑞芬 	 不管你信不信，反正我没法回答你
笑话还有吗 	 没啦~你还想要吗
宋小宝怎么样 	 铁饼少女
再呵呵一个试试 	 你说试就试呀，那我不是上你当了
我去洗澡先 	 去吧，赶紧的
死肥 	 都比你地位高，hiahia
我不喜欢魏晨 	 喜欢一下又不会少块肉，真的是
能不能不 	 当然
你咋这么不讲究？ 	 难道还轮你？
他们骂你 	 我不在任何角落
毛球球 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
我只错了 	 那啥是对的？
他好帅噢～ 	 好，非常好，他很乖，很温柔，很听话，很爱我的主人，园子
唉？ 	 來吧!!我會配合你的!!::>_<:
傻仔 	 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
人好多 	 是啊，好多
那就是什么也不说了,讨厌讨厌 	 没啥好说了
我要下班了 	 不用上班？奇迹呀
自己翻高数书去 	 不管你信不信，反正我没法回答你
: 	 :？不明白你说啥，麻烦您老说明白点
西铁一中 	 终于找到你了！静怡告诉我他爱你~
风味怎么样 	 长得还行
sulli 	 无聊！打几个实用点的字出来聊行不
爱死了不是吃东西就是吃手 	 是曾與你躲過雨的屋簷
不要太羞涩嘛 	 sorry
你丫给我死去死远一点 	 生命是很重要的哦，不要轻易放弃生命
我身在哪国，就是哪国人 	 中国的呗
你是日本吗 	 特長:唱歌走音，跳舞走光，行路仆街，賣色上位，展示殘樣，言行欠禮，勾三垥四，心計多端，敗壞名聲，整容失敗，圈內鬥爭，亂搞關係，出賣朋友，尖酸刻薄，雞味一流!
喝了会尿尿 	 关你P事
给我来句狠的话 	 对不起，我没明白你的意思……
啦啦啦啦啦…啦啦啦啦… 	 啦啦啦，我是卖产报的小行家...
哈哈哈~丝车~ 	 有什么好笑的
zhai也不跟你好了 	 你呀
该起床了吗 	 早起了，早起的鸟儿有虫吃
妈给的没办法 	 还没看到比较好的方法哦
退步了噢问啥都这一句,没意思 	 你想要什么意思嘛，真的是
我还吃金科拉哦勒 	 无法理解您的话，获取帮助请发送 help
好快膜拜我 	 瞧把你开心得
老是表情,我心情不好 	 不好就不好啦，说这么大声是要全世界的人都听到吗
偶在家烤火 	 不要啦，，泡麵很難吃欸
伦家会害羞的 	 来嘛大爷?
月 	 你说个“月”是什么意思
没错，就是我风华绝代万人惊艳的石榴姐 	 哦了哦了哦了,咱聊点别的吧
我生了你,我是尼麻麻 	 我就一个脑袋，思想再活跃也有局限性
摩托罗拉 	 不懂科学
男的那是鸭,不是,你搞错了了 	 说什么乱七八糟的
去吧,去 	 跟你一起去？
那你一定是个帅 	 纯吧第一萌妹子
要把你吃了 	 哦，吃了就好
最最牛逼的上单英雄我喜欢 	 虽然我很聪明，但也不可能全部都懂哦
搅基圣地 	 二货吃货水货！！！
喜欢小黄鸭么 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
你是是神经 	 你才神经
判处你无妻徒刑 	 你说的什么哦？换种说法行不
欠人情 	 是这样的哦，有冷有暖
你啊,你不会的只会呵呵,发表情,二货 	 额~真不会吗
学长，别丢下我一个人 	 是是是。。。。。是个p啊。。。
翻滚吧,宝宝 	 好，我滚！！！
骂你自己 	 去就去、反正到了我再扣你！！！
真闹腾 	 好像是你在闹吧
哎呀别这样嘛，没准于文远不是故意的 	 你好烦啊，那要怎样
你会打鸣不 	 没吃饱
张少林 	 问世间情为何物，只教人生死相随
你好,用日语怎么说 	 我不错，你呢，你怎么样
主人我很乖，不要吃我 	 有些事没必要认真，有些人没必要理会
说了不要 	 噢，然後呢？
你自己怎么玩 	 瞎玩，没什么好玩的
你到底有没有看过 	 我有木有关你P事哇，问这么多，有也不可能借你啊
中国的主席是谁 	 天天玩红石，不问政事
你是一只小粑粑儿 	 不要这样说嘛
你认识元芳吗 	 没什么印象咯
不是姐弟吗 	 我是人
那你给我钱花 	 你给我钱钱啊？我可没钱
你该吃药了 	 吃什么吃哦，你看我需要吃东西么
恩,心情确实不好 	 不好就不好啦，说这么大声是要全世界的人都听到吗
tmd 	 你说个“tmd”是什么意思
索尼 	 国际知名品牌
太兴奋了要 	 你吃了兴奋剂
不逗你了 	 来哇，看是谁逗谁
不作死枉为 	 可以选择放弃，但不可以放弃选择
你怎么知赵我是金牛 	 无聊的人说无聊的话
伦家很乖嘛 	 謝謝，我會更乖
你硬不起来 	 用踹的
加除以再乘以等于多少 	 你就是个二货
好好努力 	 看了钓鱼岛新闻，心情沉重！祖国尚未统一，没有心情学习
我开心 	 嘿嘿，心花怒放了吧
秦小色 	 今天这天气很适合聊天的说
呦呵,活腻了是不 	 动不动就腻，你们男人就是喜新厌旧！
你是什么星座 	 我是三毛的情人
勇敢地扑上去就好 	 今天是个好日子，怎么不敢去玩玩
只有毛发 	 無常識
老师要睡觉了 	 去睡吧，别累坏了
诶呦 	 你被踩了尾巴嗷？
都有谁 	 叶琪啊
不许耍赖 	 我不知道啦＞＜
毛加毛 	 宝贝，你说的话好高深啊，有点像哥德巴赫猜想，暂时无解！
你又打标点表情了是吧?死 	 嗯啊
你丈母娘的 	 等等哈，正吃着切糕呢
这个情况 	 因为她太坏
怎么跟陌生人聊天 	 额~聊得开心不
也许他忙呢~ 	 可能喔，男人不主动就是不爱你！
她会打我吗 	 發msg咯
超帅比gd还帅 	 肯定啦
